Learner_type,n,means,sd,se,upp_limit,low_limit
Good,7,-0.105714286,0.038234863,0.01445142,-0.091262866,-0.120165706
Bad,7,0.044285714,0.102283453,0.038659511,0.082945225,0.082945225
