Bird_Id,Learner_type,Hemisphere,Cell_type,Region,Density_interneurons,log(Density_interneurons)
Silver87,Bad,RH,CT,Medial,303858.5203,5.482671419
Silver95,Bad,LH,CB,Medial,NA,NA
Silver95,Bad,LH,aPV,Medial,NA,NA
Silver95,Bad,LH,CT,Medial,NA,NA
Silver95,Bad,RH,CB,Medial,232015.9347,5.365517813
Silver95,Bad,RH,aPV,Medial,133612.2892,5.125846405
Silver95,Bad,RH,CT,Medial,243752.1493,5.386948454
Silver8,Good,LH,CB,Medial,287532.7381,5.4586873
Silver8,Good,LH,aPV,Medial,161358.0345,5.207790595
Silver8,Good,LH,CT,Medial,296025.2662,5.47132878
Silver8,Good,RH,CB,Medial,296025.2662,5.47132878
Silver8,Good,RH,aPV,Medial,296025.2662,5.47132878
Silver8,Good,RH,CT,Medial,296025.2662,5.47132878
Silver81,Good,LH,CB,Medial,207227.1733,5.316446703
Silver81,Good,LH,aPV,Medial,164605.9816,5.216445613
Silver81,Good,LH,CT,Medial,210166.5658,5.322563628
Silver81,Good,RH,CB,Medial,202346.9491,5.306096661
Silver81,Good,RH,aPV,Medial,238480.3329,5.377452569
Silver81,Good,RH,CT,Medial,245707.0096,5.390417546
Silver90,Good,LH,CB,Medial,216517.7389,5.335493483
Silver90,Good,LH,aPV,Medial,173214.1912,5.23858347
Silver90,Good,LH,CT,Medial,274810.9764,5.439034075
Silver90,Good,RH,CB,Medial,274719.8095,5.438889977
Silver90,Good,RH,aPV,Medial,151818.8421,5.181325675
Silver90,Good,RH,CT,Medial,332555.5589,5.521864212
Silver41,Bad,LH,CB,Medial,281517.9545,5.449506098
Silver41,Bad,LH,aPV,Medial,143414.807,5.156593993
Silver41,Bad,LH,CT,Medial,260271.3165,5.415426309
Silver41,Bad,RH,CB,Medial,119121.55,5.075990336
Silver41,Bad,RH,aPV,Medial,81964.36923,4.913625101
Silver41,Bad,RH,CT,Medial,283050.2884,5.451863602
Red141,Bad,LH,CB,Medial,148913.8579,5.172935115
Red141,Bad,LH,aPV,Medial,174082.3973,5.240754859
Red141,Bad,LH,CT,Medial,199250.9366,5.299400372
Red141,Bad,RH,CB,Medial,NA,NA
Red141,Bad,RH,aPV,Medial,NA,NA
Red141,Bad,RH,CT,Medial,NA,NA
SIlver22,Good,LH,CB,Medial,NA,NA
SIlver22,Good,LH,aPV,Medial,NA,NA
SIlver22,Good,LH,CT,Medial,NA,NA
SIlver22,Good,RH,CB,Medial,229719.505,5.361197872
SIlver22,Good,RH,aPV,Medial,196410.1768,5.293163987
SIlver22,Good,RH,CT,Medial,240056.8827,5.380314162
Silver67,Good,LH,CB,Medial,251479.0796,5.400501862
Silver67,Good,LH,aPV,Medial,210164.6593,5.322559688
Silver67,Good,LH,CT,Medial,319737.6869,5.504793829
Silver67,Good,RH,CB,Medial,177913.7495,5.250209512
Silver67,Good,RH,aPV,Medial,100076.4841,5.000332039
Silver67,Good,RH,CT,Medial,366947.1084,5.56460347
Silver83,Bad,LH,CB,Medial,NA,NA
Silver83,Bad,LH,aPV,Medial,NA,NA
Silver83,Bad,LH,CT,Medial,NA,NA
Silver83,Bad,RH,CB,Medial,200979.4762,5.30315171
Silver83,Bad,RH,aPV,Medial,135033.0856,5.130440192
Silver83,Bad,RH,CT,Medial,328161.801,5.516088027
Silver13,Good,LH,CBCTPV,Medial,8645.632004,3.936796746
Silver13,Good,LH,CTPV,Medial,31700.65068,4.501068177
Silver13,Good,LH,CBPV,Medial,30259.71201,4.48086479
Silver13,Good,LH,CBCT,Medial,53314.73069,4.72684722
Silver13,Good,RH,CBCTPV,Medial,13113.16172,4.117707417
Silver13,Good,RH,CTPV,Medial,48081.59298,4.681978848
Silver13,Good,RH,CBPV,Medial,24769.30547,4.393913829
Silver13,Good,RH,CBCT,Medial,59737.73673,4.776248765
Silver10,Good,LH,CBCTPV,Medial,2407.888707,3.38163641
Silver10,Good,LH,CTPV,Medial,18059.1653,4.256697673
Silver10,Good,LH,CBPV,Medial,7223.66612,3.858757665
Silver10,Good,LH,CBCT,Medial,48157.77413,4.682666405
Silver10,Good,RH,CBCTPV,Medial,2676.409364,3.427552541
Silver10,Good,RH,CTPV,Medial,18734.86555,4.272650581
Silver10,Good,RH,CBPV,Medial,8029.228091,3.904673795
Silver10,Good,RH,CBCT,Medial,49513.57323,4.694724269
Silver08,Good,LH,CBCTPV,Medial,7279.309826,3.862090204
Silver08,Good,LH,CTPV,Medial,21837.92948,4.339211459
Silver08,Good,LH,CBPV,Medial,13345.40135,4.125331639
Silver08,Good,LH,CBCT,Medial,50955.16878,4.707188244
Silver08,Good,RH,CBCTPV,Medial,6857.422737,3.836160923
Silver08,Good,RH,CTPV,Medial,22286.6239,4.348044284
Silver08,Good,RH,CBPV,Medial,12000.48979,4.079198972
Silver08,Good,RH,CBCT,Medial,56573.73758,4.752614872
Silver18,Bad,LH,CBCTPV,Medial,7055.529635,3.84852962
Silver18,Bad,LH,CTPV,Medial,16462.90248,4.216506406
Silver18,Bad,LH,CBPV,Medial,11759.21606,4.07037837
Silver18,Bad,LH,CBCT,Medial,65851.60993,4.818566397
Silver18,Bad,RH,CBCTPV,Medial,4488.937976,3.652143605
Silver18,Bad,RH,CTPV,Medial,47133.84875,4.673332904
Silver18,Bad,RH,CBPV,Medial,15711.28292,4.196211649
Silver18,Bad,RH,CBCT,Medial,51622.78673,4.712841445
Silver17,Bad,LH,CBCTPV,Medial,20110.48351,4.303422512
Silver17,Bad,LH,CTPV,Medial,67034.94502,4.826301258
Silver17,Bad,LH,CBPV,Medial,24579.47984,4.390572688
Silver17,Bad,LH,CBCT,Medial,63683.19777,4.804024863
Silver17,Bad,RH,CBCTPV,Medial,8848.702973,3.946879617
Silver17,Bad,RH,CTPV,Medial,45349.60274,4.656573487
Silver17,Bad,RH,CBPV,Medial,9954.790845,3.99803214
Silver17,Bad,RH,CBCT,Medial,57516.56933,4.759792974
Silver19,Bad,LH,CBCTPV,Medial,26149.97635,4.4174713
Silver19,Bad,LH,CTPV,Medial,84725.92336,4.928016311
Silver19,Bad,LH,CBPV,Medial,29287.97351,4.466689323
Silver19,Bad,LH,CBCT,Medial,55437.94985,4.743807161
Silver19,Bad,RH,CBCTPV,Medial,12385.72694,4.092921501
Silver19,Bad,RH,CTPV,Medial,51448.40422,4.711371909
Silver19,Bad,RH,CBPV,Medial,20960.46098,4.32140083
Silver19,Bad,RH,CBCT,Medial,50495.656,4.703254019
Silver20,Good,LH,CBCTPV,Medial,NA,NA
Silver20,Good,LH,CTPV,Medial,NA,NA
Silver20,Good,LH,CBPV,Medial,NA,NA
Silver20,Good,LH,CBCT,Medial,NA,NA
Silver20,Good,RH,CBCTPV,Medial,3030.011539,3.481444282
Silver20,Good,RH,CTPV,Medial,40400.15385,4.606383019
Silver20,Good,RH,CBPV,Medial,6060.023078,3.782474278
Silver20,Good,RH,CBCT,Medial,49490.18847,4.694519108
